timestamp,league_name,team_1,team_2,odd_1,odd_X,odd_2,game_score
2024-10-14 01:47:16,2х2 Cricket Series,Delhi (CS),Bengal (CS),1.62,25,2.152,"98/2 (7.5)
0"
2024-10-14 01:47:58,2х2 Cricket Series,Delhi (CS),Bengal (CS),1.62,25,2.152,"102/2 (8.2)
0"
2024-10-14 01:48:42,2х2 Cricket Series,Delhi (CS),Bengal (CS),1.62,25,2.152,"106/3 (8.5)
0"
2024-10-20 10:28:54,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.056,25,1.68,"108
0/0 (0.0)"
2024-10-20 10:30:15,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.056,25,1.68,"108
0/0 (0.0)"
2024-10-20 10:30:52,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.056,25,1.68,"108
0/0 (0.0)"
2024-10-20 10:31:42,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.056,25,1.68,"108
5/0 (0.3)"
2024-10-20 10:39:21,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.315,25,1.54,"108
52/0 (4.2)"
2024-10-20 10:40:46,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.152,25,1.62,"108
62/0 (4.5)"
2024-10-20 10:41:28,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.152,25,1.62,"108
63/0 (5.1)"
2024-10-20 10:42:06,2х2 Cricket Series,Tripura (CS),Karnataka (CS),2.315,25,1.54,"108
68/0 (5.3)"
2024-10-20 11:01:40,2х2 Cricket Series,Tamil Nadu (CS),Nagaland (CS),1.68,25,2.056,"0/0 (0.0)
0"
2024-10-20 11:02:17,2х2 Cricket Series,Tamil Nadu (CS),Nagaland (CS),1.68,25,2.056,"0/0 (0.0)
0"
2024-10-20 11:03:00,2х2 Cricket Series,Tamil Nadu (CS),Nagaland (CS),1.68,25,2.056,"10/0 (0.5)
0"
2024-10-20 11:03:39,2х2 Cricket Series,Tamil Nadu (CS),Nagaland (CS),1.68,25,2.056,"11/0 (1.2)
0"
2024-10-20 23:34:22,2х2 Cricket Series,Tamil Nadu (CS),Nagaland (CS),1.68,25,2.056,"15/0 (1.4)
0"
2024-10-20 23:34:59,2х2 Cricket Series,Tamil Nadu (CS),Nagaland (CS),1.68,25,2.056,"16/0 (1.5)
0"
